NewsId,Agency
test-87,CTS
test-870,LTN
test-871,LTN
test-872,LTN
test-873,LTN
test-874,CTS
test-875,APD
test-876,LTN
test-877,CTS
test-878,LTN
test-879,CTS
test-88,LTN
test-880,LTN
test-881,LTN
test-882,APD
test-883,CTS
test-884,CTS
test-885,CTS
test-886,LTN
test-887,LTN
test-888,APD
test-889,LTN
test-89,CTS
test-890,CTS
test-891,LTN
test-892,LTN
test-893,LTN
test-894,LTN
test-895,LTN
test-896,LTN
test-897,APD
test-898,LTN
test-899,LTN
test-9,CTS
test-90,CTS
test-900,CTS
test-901,LTN
test-902,LTN
test-903,LTN
test-904,LTN
test-905,CTS
test-906,APD
test-907,CTS
test-908,LTN
test-909,CTS
test-91,LTN
test-910,CTS
test-911,LTN
test-912,LTN
test-913,APD
test-914,CTS
test-915,LTN
test-916,CTS
test-917,CTS
test-918,LTN
test-919,CTS
test-92,LTN
test-920,LTN
test-921,LTN
test-922,CTS
test-923,LTN
test-924,LTN
test-925,CTS
test-926,CTS
test-927,CTS
test-928,LTN
test-929,LTN
test-93,APD
test-930,LTN
test-931,CTS
test-932,LTN
test-933,LTN
test-934,APD
test-935,LTN
test-936,LTN
test-937,APD
test-938,APD
test-939,LTN
test-94,LTN
test-940,APD
test-941,LTN
test-942,CTS
test-943,CTS
test-944,APD
test-945,CTS
test-946,CTS
test-947,LTN
test-948,CTS
test-949,LTN
test-95,LTN
test-950,CTS
test-951,CTS
test-952,CTS
test-953,CTS
test-954,APD
test-955,CTS
test-956,LTN
test-957,LTN
test-958,LTN
test-959,LTN
test-96,LTN
test-960,LTN
test-961,LTN
test-962,CTS
test-963,CTS
test-964,LTN
test-965,APD
test-966,LTN
test-967,LTN
test-968,LTN
test-969,CTS
test-97,LTN
test-970,LTN
test-971,CTS
test-972,LTN
test-973,LTN
test-974,LTN
test-975,CTS
test-976,CTS
test-977,LTN
test-978,LTN
test-979,LTN
test-98,CTS
test-980,LTN
test-981,LTN
test-982,LTN
test-983,CTS
test-984,LTN
test-985,LTN
test-986,CTS
test-987,LTN
test-988,LTN
test-989,LTN
test-99,CTS
test-990,CTS
test-991,LTN
test-992,LTN
test-993,CTS
test-994,LTN
test-995,LTN
test-996,LTN
test-997,LTN
test-998,CTS
test-999,LTN
